Time - V_C	Amplitude - V_C	Time - V_R	Amplitude - V_R	Time - V_S	Amplitude - V_S
0,00031	-0,794206	0,00031	0,399997	0,00031	0,351875
0,000313	-1,03643	0,000313	0,362337	0,000313	0,344472
0,000317	-1,2603	0,000317	0,32033	0,000317	0,328699
0,00032	-1,4729	0,00032	0,274944	0,00032	0,306972
0,000323	-1,66958	0,000323	0,2265	0,000323	0,291199
0,000327	-1,84903	0,000327	0,175802	0,000327	0,271403
0,00033	-2,01335	0,00033	0,122691	0,00033	0,239214
0,000333	-2,14903	0,000333	0,0684525	0,000333	0,213463
0,000337	-2,26314	0,000337	0,0135706	0,000337	0,179343
0,00034	-2,35472	0,00034	-0,0417941	0,00034	0,145706
0,000343	-2,43165	0,000343	-0,096515	0,000343	0,109976
0,000346	-2,46641	0,000346	-0,15027	0,000346	0,0684525
0,00035	-2,47623	0,00035	-0,202899	0,00035	0,035459
0,000353	-2,47076	0,000353	-0,252952	0,000353	-0,00171903
0,000356	-2,43149	0,000356	-0,300753	0,000356	-0,0401846
0,00036	-2,36759	0,00036	-0,345495	0,00036	-0,0778455
0,000363	-2,27746	0,000363	-0,386697	0,000363	-0,113897
0,000366	-2,1648	0,000366	-0,423553	0,000366	-0,151397
0,00037	-2,02623	0,00037	-0,456546	0,00037	-0,182781
0,000373	-1,86995	0,000373	-0,48455	0,000373	-0,211107
0,000376	-1,6868	0,000376	-0,507404	0,000376	-0,239916
0,000379	-1,49109	0,000379	-0,525913	0,000379	-0,269047
0,000383	-1,27929	0,000383	-0,537984	0,000383	-0,289487
0,000386	-1,05445	0,000386	-0,545065	0,000386	-0,309444
0,000389	-0,817704	0,000389	-0,546031	0,000389	-0,330688
0,000393	-0,571943	0,000393	-0,541685	0,000393	-0,345495
0,000396	-0,320549	0,000396	-0,531063	0,000396	-0,35483
0,000399	-0,064809	0,000399	-0,514647	0,000399	-0,363682
0,000403	0,189	0,000403	-0,493241	0,000403	-0,362394
0,000406	0,439107	0,000406	-0,466203	0,000406	-0,363038
0,000409	0,689054	0,000409	-0,434497	0,000409	-0,355474
0,000412	0,92693	0,000412	-0,397963	0,000412	-0,347587
0,000416	1,15933	0,000416	-0,357566	0,000416	-0,335677
0,000419	1,37726	0,000419	-0,312823	0,000419	-0,317491
0,000422	1,57924	0,000422	-0,265506	0,000422	-0,299304
0,000426	1,76385	0,000426	-0,215292	0,000426	-0,274036
0,000429	1,93445	0,000429	-0,162985	0,000429	-0,249894
0,000432	2,0785	0,000432	-0,108908	0,000432	-0,221729
0,000436	2,20275	0,000436	-0,0543477	0,000436	-0,193081
0,000439	2,30109	0,000439	0,000856069	0,000439	-0,157191
0,000442	2,37303	0,000442	0,0560598	0,000442	-0,122749
0,000445	2,42454	0,000445	0,110137	0,000445	-0,0854099
0,000449	2,44771	0,000449	0,16341	0,000449	-0,0491975
0,000452	2,43902	0,000452	0,213946	0,000452	-0,0126632
0,000455	2,41214	0,000455	0,262712	0,000455	0,026929
0,000459	2,35034	0,000459	0,30842	0,000459	0,0644289
0,000462	2,27357	0,000462	0,350588	0,000462	0,101446
0,000465	2,17136	0,000465	0,389053	0,000465	0,135244
0,000469	2,03665	0,000469	0,423334	0,000469	0,171135
0,000472	1,88359	0,000472	0,452787	0,000472	0,203646
0,000475	1,71701	0,000475	0,477573	0,000475	0,2368
0,000478	1,52227	0,000478	0,497047	0,000478	0,26062
0,000482	1,31304	0,000482	0,511371	0,000482	0,28798
0,000485	1,09222	0,000485	0,519901	0,000485	0,305684
0,000488	0,855471	0,000488	0,522959	0,000488	0,329021
0,000492	0,615502	0,000492	0,519901	0,000492	0,345759
0,000495	0,364429	0,000495	0,51121	0,000495	0,353967
0,000498	0,109171	0,000498	0,496564	0,000498	0,355416
0,000502	-0,144315	0,000502	0,476929	0,000502	0,362015
0,000505	-0,397158	0,000505	0,451017	0,000505	0,367809
0,000508	-0,643241	0,000508	0,421081	0,000508	0,360566
0,000511	-0,890289	0,000511	0,385834	0,000511	0,349783
0,000515	-1,12366	0,000515	0,346403	0,000515	0,338678
0,000518	-1,34737	0,000518	0,30327	0,000518	0,325802
0,000521	-1,55482	0,000521	0,256435	0,000521	0,304236
0,000525	-1,7449	0,000525	0,206382	0,000525	0,284118
0,000528	-1,91727	0,000528	0,155201	0,000528	0,256274
0,000531	-2,06695	0,000531	0,101768	0,000531	0,232133
0,000535	-2,19989	0,000535	0,047047	0,000535	0,198495
0,000538	-2,30659	0,000538	-0,00847868	0,000538	0,165663
0,000541	-2,38819	0,000541	-0,0633606	0,000541	0,131543
0,000544	-2,44838	0,000544	-0,117921	0,000544	0,0988709
0,000548	-2,47108	0,000548	-0,171515	0,000548	0,0571865
0,000551	-2,47832	0,000551	-0,222856	0,000551	0,0201693
0,000554	-2,45579	0,000554	-0,272427	0,000554	-0,0231246
0,000558	-2,41185	0,000558	-0,318939	0,000558	-0,0559571
0,000561	-2,33621	0,000561	-0,362233	0,000561	-0,096515
0,000564	-2,23546	0,000564	-0,401503	0,000564	-0,128543
0,000568	-2,10976	0,000568	-0,436911	0,000568	-0,161697
0,000571	-1,96266	0,000571	-0,467973	0,000571	-0,192116
0,000574	-1,79914	0,000574	-0,494529	0,000574	-0,226558
0,000577	-1,61856	0,000577	-0,515291	0,000577	-0,251343
0,000581	-1,40917	0,000581	-0,531063	0,000581	-0,275967
0,000584	-1,1964	0,000584	-0,541524	0,000584	-0,301879
0,000587	-0,961909	0,000587	-0,546192	0,000587	-0,323446
0,000591	-0,724356	0,000591	-0,545226	0,000591	-0,336321
0,000594	-0,475859	0,000594	-0,538145	0,000594	-0,349519
0,000597	-0,219154	0,000597	-0,52543	0,000597	-0,362555
0,000601	0,0312745	0,000601	-0,506922	0,000601	-0,363038
0,000604	0,287015	0,000604	-0,483102	0,000604	-0,36175
0,000607	0,539053	0,000607	-0,454293	0,000607	-0,359658
0,00061	0,786747	0,00061	-0,420817	0,00061	-0,353542
0,000614	1,02028	0,000614	-0,38219	0,000614	-0,344207
0,000617	1,24721	0,000617	-0,340184	0,000617	-0,330688
0,00062	1,46175	0,00062	-0,294315	0,00062	-0,311536
0,000624	1,65714	0,000624	-0,24571	0,000624	-0,291257
0,000627	1,83402	0,000627	-0,19453	0,000627	-0,266311
0,00063	1,99448	0,00063	-0,141901	0,00063	-0,238628
0,000634	2,12968	0,000634	-0,0873412	0,000634	-0,209658
0,000637	2,24347	0,000637	-0,0324593	0,000637	-0,177792
0,00064	2,33392	0,00064	0,0225835	0,00064	-0,141579
0,000643	2,39717	0,000643	0,0774654	0,000643	-0,106815
0,000647	2,43516	0,000647	0,131543	0,000647	-0,0747876
0,00065	2,45254	0,00065	0,183367	0,00065	-0,0306889
0,000653	2,43387	0,000653	0,233581	0,000653	0,00681099
0,000657	2,39363	0,000657	0,281382	0,000657	0,04415
