Time - V_S	Amplitude - V_S	Time - V_R	Amplitude - V_R	Time - V_C	Amplitude - V_C
0	-1,73683	0	1,45498	0	-3,129
2,00E-06	-2,25557	2,00E-06	1,38993	2,00E-06	-2,15881
4,00E-06	-2,38952	4,00E-06	1,31893	4,00E-06	-1,4876
6,00E-06	-2,48371	6,00E-06	1,25083	6,00E-06	-1,0294
8,00E-06	-2,54537	8,00E-06	1,19013	8,00E-06	-0,710947
1,00E-05	-2,58787	1,00E-05	1,12476	1,00E-05	-0,485227
1,20E-05	-2,61653	1,20E-05	1,06262	1,20E-05	-0,327609
1,40E-05	-2,63247	1,40E-05	1,00176	1,40E-05	-0,21652
1,60E-05	-2,6439	1,60E-05	0,945733	1,60E-05	-0,139402
1,80E-05	-2,64567	1,80E-05	0,888095	1,80E-05	-0,0886873
2,00E-05	-2,6439	2,00E-05	0,832711	2,00E-05	-0,0529456
2,20E-05	-2,64326	2,20E-05	0,781191	2,20E-05	-0,0241268
2,40E-05	-2,63988	2,40E-05	0,726773	2,40E-05	-0,00351898
2,60E-05	-2,63859	2,60E-05	0,677507	2,60E-05	0,00646294
2,80E-05	-2,6307	2,80E-05	0,627436	2,80E-05	0,0164449
3,00E-05	-2,62249	3,00E-05	0,577687	3,00E-05	0,0198258
3,20E-05	-2,6154	3,20E-05	0,531159	3,20E-05	0,0228848
3,40E-05	-2,60591	3,40E-05	0,485918	3,40E-05	0,0246558
3,60E-05	-2,59834	3,60E-05	0,440516	3,60E-05	0,0272318
3,80E-05	-2,58852	3,80E-05	0,396402	3,80E-05	0,0281978
4,00E-05	-2,58916	4,00E-05	0,352611	4,00E-05	0,0262658
4,20E-05	-2,57725	4,20E-05	0,309946	4,20E-05	0,0246558
4,40E-05	-2,57	4,40E-05	0,270501	4,40E-05	0,0241728
4,60E-05	-2,56179	4,60E-05	0,23009	4,60E-05	0,0214358
4,80E-05	-2,55213	4,80E-05	0,190002	4,80E-05	0,0230458
5,00E-05	-2,55004	5,00E-05	0,151684	5,00E-05	0,0186988
5,20E-05	-2,54118	5,20E-05	0,114171	5,20E-05	0,0177329
5,40E-05	-2,53555	5,40E-05	0,0795564	5,40E-05	0,0177329
5,60E-05	-2,52846	5,60E-05	0,0428487	5,60E-05	0,0153179
5,80E-05	-2,52106	5,80E-05	0,00984391	5,80E-05	0,0132249
6,00E-05	-2,51655	6,00E-05	-0,0268638	6,00E-05	0,0130639
6,20E-05	-2,50882	6,20E-05	-0,0605125	6,20E-05	0,0112929
