Time - V_S	Amplitude - V_S	Time - V_R	Amplitude - V_R	Time - V_C	Amplitude - V_C
0	-1,49581	0	0,698276	0	-3,17714
2,00E-06	-2,11663	2,00E-06	0,645951	2,00E-06	-2,19874
4,00E-06	-2,25798	4,00E-06	0,593143	4,00E-06	-1,52624
6,00E-06	-2,35008	6,00E-06	0,542429	6,00E-06	-1,06547
8,00E-06	-2,4156	8,00E-06	0,49429	8,00E-06	-0,741375
1,00E-05	-2,46004	1,00E-05	0,443897	1,00E-05	-0,515978
1,20E-05	-2,49063	1,20E-05	0,397207	1,20E-05	-0,354657
1,40E-05	-2,51075	1,40E-05	0,350679	1,40E-05	-0,246949
1,60E-05	-2,52025	1,60E-05	0,306243	1,60E-05	-0,169831
1,80E-05	-2,52541	1,80E-05	0,263417	1,80E-05	-0,117345
2,00E-05	-2,5341	2,00E-05	0,220752	2,00E-05	-0,0762904
2,20E-05	-2,53313	2,20E-05	0,179537	2,20E-05	-0,0508526
2,40E-05	-2,53007	2,40E-05	0,138965	2,40E-05	-0,0307278
2,60E-05	-2,52669	2,60E-05	0,0996812	2,60E-05	-0,0178479
2,80E-05	-2,52299	2,80E-05	0,0615245	2,80E-05	-0,0112469
3,00E-05	-2,51752	3,00E-05	0,0230458	3,00E-05	-0,00593397
3,20E-05	-2,50931	3,20E-05	-0,0131789	3,20E-05	-0,00255299
3,40E-05	-2,50737	3,40E-05	-0,0471496	3,40E-05	-0,000943004
3,60E-05	-2,50077	3,60E-05	-0,0817644	3,60E-05	0,00259897
3,80E-05	-2,49626	3,80E-05	-0,11654	3,80E-05	0,00517495
4,00E-05	-2,49095	4,00E-05	-0,148096	4,00E-05	0,00758993
4,20E-05	-2,4858	4,20E-05	-0,179652	4,20E-05	0,00436995
4,40E-05	-2,4792	4,40E-05	-0,212978	4,40E-05	0,00147198
4,60E-05	-2,47678	4,60E-05	-0,24389	4,60E-05	0,00211597
4,80E-05	-2,46986	4,80E-05	-0,273031	4,80E-05	0,00131098
5,00E-05	-2,46262	5,00E-05	-0,302332	5,00E-05	-0,001104
5,20E-05	-2,4602	5,20E-05	-0,330829	5,20E-05	-0,00239199
5,40E-05	-2,45183	5,40E-05	-0,35675	5,40E-05	-0,001426
5,60E-05	-2,44748	5,60E-05	-0,385247	5,60E-05	-0,001265
5,80E-05	-2,44201	5,80E-05	-0,412938	5,80E-05	-0,00319699
6,00E-05	-2,43621	6,00E-05	-0,437893	6,00E-05	-0,00367998
6,20E-05	-2,43331	6,20E-05	-0,463814	6,20E-05	-0,00915394
6,40E-05	-2,42977	6,40E-05	-0,487803	6,40E-05	-0,00786595
6,60E-05	-2,42575	6,60E-05	-0,512597	6,60E-05	-0,00947594
6,80E-05	-2,42092	6,80E-05	-0,535619	6,80E-05	-0,0114079
7,00E-05	-2,41995	7,00E-05	-0,559125	7,00E-05	-0,0104419
7,20E-05	-2,41303	7,20E-05	-0,581021	7,20E-05	-0,0133399
7,40E-05	-2,4082	7,40E-05	-0,604366	7,40E-05	-0,0130179
7,60E-05	-2,40514	7,60E-05	-0,624812	7,60E-05	-0,0118909
7,80E-05	-2,40111	7,80E-05	-0,646386	7,80E-05	-0,0133399
8,00E-05	-2,39918	8,00E-05	-0,668282	8,00E-05	-0,0149499
8,20E-05	-2,3929	8,20E-05	-0,687763	8,20E-05	-0,0194579
8,40E-05	-2,38984	8,40E-05	-0,707244	8,40E-05	-0,0159159
8,60E-05	-2,38405	8,60E-05	-0,726886	8,60E-05	-0,0189749
8,80E-05	-2,3855	8,80E-05	-0,746044	8,80E-05	-0,0205849
9,00E-05	-2,37922	9,00E-05	-0,764881	9,00E-05	-0,0244488
9,20E-05	-2,37696	9,20E-05	-0,781947	9,20E-05	-0,0197799
9,40E-05	-2,37358	9,40E-05	-0,800623	9,40E-05	-0,0213898
9,60E-05	-2,36972	9,60E-05	-0,817689	9,60E-05	-0,0236438
9,80E-05	-2,36505	9,80E-05	-0,835398	9,80E-05	-0,0250928
1,00E-04	1,88083	1,00E-04	-0,680196	1,00E-04	3,0824
0,000102	2,13247	0,000102	-0,62771	0,000102	2,13424
0,000104	2,26755	0,000104	-0,576996	0,000104	1,48009
0,000106	2,36255	0,000106	-0,525476	0,000106	1,03348
0,000108	2,42373	0,000108	-0,47444	0,000108	0,723392
0,00011	2,46768	0,00011	-0,426301	0,00011	0,502501
0,000112	2,49811	0,000112	-0,381222	0,000112	0,346976
0,000114	2,51502	0,000114	-0,336303	0,000114	0,240877
0,000116	2,5258	0,000116	-0,290902	0,000116	0,163759
0,000118	2,53466	0,000118	-0,246466	0,000118	0,107892
0,00012	2,53401	0,00012	-0,206377	0,00012	0,0734384
0,000122	2,53144	0,000122	-0,165162	0,000122	0,0478396
0,000124	2,53192	0,000124	-0,123946	0,000124	0,0283588
0,000126	2,52838	0,000126	-0,0846623	0,000126	0,0178938
0,000128	2,52146	0,000128	-0,0479546	0,000128	0,00694593
0,00013	2,51936	0,00013	-0,0101199	0,00013	0,00420896
0,000132	2,51292	0,000132	0,0259438	0,000132	0,000183987
0,000134	2,5097	0,000134	0,0597535	0,000134	-0,00319699
0,000136	2,50004	0,000136	0,0964613	0,000136	-0,00239199
0,000138	2,49537	0,000138	0,127856	0,000138	-0,00303599
0,00014	2,49103	0,00014	0,161505	0,00014	-0,00400198
0,000142	2,48748	0,000142	0,192417	0,000142	-0,00464598
0,000144	2,48137	0,000144	0,223972	0,000144	-0,000943004
0,000146	2,47718	0,000146	0,255206	0,000146	-0,00207
0,000148	2,46784	0,000148	0,285796	0,000148	-0,001104
0,00015	2,46462	0,00015	0,313971	0,00015	-0,001748
0,000152	2,45931	0,000152	0,341985	0,000152	0,000344986
0,000154	2,45448	0,000154	0,370642	0,000154	0,00195497
0,000156	2,45061	0,000156	0,396885	0,000156	0,00356496
0,000158	2,44289	0,000158	0,421518	0,000158	0,00292097
0,00016	2,44144	0,00016	0,448405	0,00016	0,00565794
0,000162	2,44079	0,000162	0,474326	0,000162	0,00694593
0,000164	2,43274	0,000164	0,498798	0,000164	0,0104879
0,000166	2,42856	0,000166	0,523109	0,000166	0,0108099
0,000168	2,4218	0,000168	0,545327	0,000168	0,0127419
0,00017	2,41648	0,00017	0,568028	0,00017	0,0103269
0,000172	2,41423	0,000172	0,590728	0,000172	0,0124199
0,000174	2,40827	0,000174	0,612946	0,000174	0,0116149
0,000176	2,40795	0,000176	0,634037	0,000176	0,0137079
0,000178	2,40553	0,000178	0,656094	0,000178	0,0145129
0,00018	2,3999	0,00018	0,676219	0,00018	0,0154789
0,000182	2,39587	0,000182	0,695861	0,000182	0,0135469
0,000184	2,39088	0,000184	0,716308	0,000184	0,0190208
0,000186	2,39024	0,000186	0,735145	0,000186	0,0185378
0,000188	2,38702	0,000188	0,753821	0,000188	0,0193428
0,00019	2,37977	0,00019	0,772336	0,00019	0,0207918
0,000192	2,378	0,000192	0,790046	0,000192	0,0207918
0,000194	2,37639	0,000194	0,807756	0,000194	0,0211138
0,000196	2,36899	0,000196	0,826271	0,000196	0,0254608
0,000198	2,36915	0,000198	0,842371	0,000198	0,0227238
0,0002	-1,5351	0,0002	0,696827	0,0002	-3,16393
0,000202	-2,11357	0,000202	0,638867	0,000202	-2,19101
0,000204	-2,25299	0,000204	0,586381	0,000204	-1,52093
0,000206	-2,35088	0,000206	0,535667	0,000206	-1,05854
0,000208	-2,41689	0,000208	0,486723	0,000208	-0,737833
0,00021	-2,45956	0,00021	0,436652	0,00021	-0,515012
0,000212	-2,49015	0,000212	0,392055	0,000212	-0,358521
0,000214	-2,51172	0,000214	0,344722	0,000214	-0,246144
0,000216	-2,52058	0,000216	0,297066	0,000216	-0,170314
0,000218	-2,52991	0,000218	0,256816	0,000218	-0,11332
0,00022	-2,53088	0,00022	0,214312	0,00022	-0,0775784
0,000222	-2,53217	0,000222	0,173419	0,000222	-0,0506916
0,000224	-2,53104	0,000224	0,132203	0,000224	-0,0334647
0,000226	-2,52702	0,000226	0,0943683	0,000226	-0,0176869
0,000228	-2,5217	0,000228	0,0549236	0,000228	-0,00931494
0,00023	-2,51832	0,00023	0,0172499	0,00023	-0,00239199
0,000232	-2,5122	0,000232	-0,0165599	0,000232	0,00131098
0,000234	-2,50802	0,000234	-0,0524626	0,000234	0,00388696
0,000236	-2,50013	0,000236	-0,0872383	0,000236	0,000666983
0,000238	-2,49771	0,000238	-0,122175	0,000238	0,00388696
0,00024	-2,49015	0,00024	-0,154375	0,00024	0,00485295
0,000242	-2,48644	0,000242	-0,184964	0,000242	0,00517495
0,000244	-2,48081	0,000244	-0,216842	0,000244	0,00356496
0,000246	-2,47276	0,000246	-0,246627	0,000246	0,00243797
0,000248	-2,46938	0,000248	-0,2777	0,000248	-0,001426
0,00025	-2,46197	0,00025	-0,304586	0,00025	-0,001748
0,000252	-2,45746	0,000252	-0,334532	0,000252	-0,001265
