Time - V_C	Amplitude - V_C	Time - V_R	Amplitude - V_R	Time - V_S	Amplitude - V_S
0	0,106113	0	-0,0588541	0	-1,57478
2,00E-06	1,39995	2,00E-06	-0,0184572	2,00E-06	-1,79994
4,00E-06	2,15447	4,00E-06	0,0254805	4,00E-06	-1,33482
6,00E-06	2,07866	6,00E-06	0,0530019	6,00E-06	-0,358049
8,00E-06	1,20005	8,00E-06	0,0552551	8,00E-06	0,753753
1,00E-05	-0,136429	1,00E-05	0,032562	1,00E-05	1,57635
1,20E-05	-1,4309	1,20E-05	-0,00799585	1,20E-05	1,79539
1,40E-05	-2,18138	1,40E-05	-0,0516116	1,40E-05	1,33203
1,60E-05	-2,10879	1,60E-05	-0,079294	1,60E-05	0,35783
1,80E-05	-1,23374	1,80E-05	-0,0815472	1,80E-05	-0,751717
2,00E-05	0,105309	2,00E-05	-0,0583713	2,00E-05	-1,57591
2,20E-05	1,40043	2,20E-05	-0,0179744	2,20E-05	-1,79978
2,40E-05	2,15189	2,40E-05	0,0253195	2,40E-05	-1,33514
2,60E-05	2,07785	2,60E-05	0,0538066	2,60E-05	-0,358371
2,80E-05	1,20134	2,80E-05	0,055577	2,80E-05	0,755041
3,00E-05	-0,139004	3,00E-05	0,032562	3,00E-05	1,57457
3,20E-05	-1,43058	3,20E-05	-0,00815679	3,20E-05	1,80022
3,40E-05	-2,18267	3,40E-05	-0,0520945	3,40E-05	1,3309
3,60E-05	-2,10976	3,60E-05	-0,0784893	3,60E-05	0,35606
3,80E-05	-1,23583	3,80E-05	-0,0812253	3,80E-05	-0,753326
4,00E-05	0,10386	4,00E-05	-0,0585322	4,00E-05	-1,57687
4,20E-05	1,4014	4,20E-05	-0,0178134	4,20E-05	-1,79624
4,40E-05	2,15591	4,40E-05	0,0254805	4,40E-05	-1,33015
4,60E-05	2,07802	4,60E-05	0,0536457	4,60E-05	-0,355152
4,80E-05	1,19957	4,80E-05	0,0558989	4,80E-05	0,752788
5,00E-05	-0,136107	5,00E-05	0,0328839	5,00E-05	1,57683
5,20E-05	-1,42897	5,20E-05	-0,00799585	5,20E-05	1,79652
5,40E-05	-2,18572	5,40E-05	-0,0508069	5,40E-05	1,33042
5,60E-05	-2,10638	5,60E-05	-0,0794549	5,60E-05	0,358957
5,80E-05	-1,23487	5,80E-05	-0,0810644	5,80E-05	-0,754453
6,00E-05	0,106918	6,00E-05	-0,0583713	6,00E-05	-1,5751
6,20E-05	1,40381	6,20E-05	-0,0178134	6,20E-05	-1,80236
6,40E-05	2,15237	6,40E-05	0,0259633	6,40E-05	-1,33288
6,60E-05	2,07673	6,60E-05	0,0541285	6,60E-05	-0,358371
6,80E-05	1,19764	6,80E-05	0,055738	6,80E-05	0,754075
7,00E-05	-0,140131	7,00E-05	0,0328839	7,00E-05	1,57393
7,20E-05	-1,43025	7,20E-05	-0,00815679	7,20E-05	1,797
7,40E-05	-2,18492	7,40E-05	-0,050485	7,40E-05	1,32897
7,60E-05	-2,10767	7,60E-05	-0,0786502	7,60E-05	0,358474
7,80E-05	-1,23342	7,80E-05	-0,0815472	7,80E-05	-0,757833
8,00E-05	0,107401	8,00E-05	-0,0582103	8,00E-05	-1,57349
8,20E-05	1,40252	8,20E-05	-0,0174915	8,20E-05	-1,80348
8,40E-05	2,15237	8,40E-05	0,026768	8,40E-05	-1,33224
8,60E-05	2,07689	8,60E-05	0,0542895	8,60E-05	-0,355795
8,80E-05	1,20102	8,80E-05	0,0558989	8,80E-05	0,755363
9,00E-05	-0,139326	9,00E-05	0,032562	9,00E-05	1,5728
9,20E-05	-1,43154	9,20E-05	-0,00703018	9,20E-05	1,79861
9,40E-05	-2,18508	9,40E-05	-0,0512898	9,40E-05	1,33219
9,60E-05	-2,10815	9,60E-05	-0,0788112	9,60E-05	0,356864
9,80E-05	-1,23229	9,80E-05	-0,0817082	9,80E-05	-0,754614
1,00E-04	0,104182	1,00E-04	-0,0586932	1,00E-04	-1,57784
0,000102	1,40317	0,000102	-0,0170087	0,000102	-1,8022
0,000104	2,15495	0,000104	0,0259633	0,000104	-1,33739
0,000106	2,07818	0,000106	0,0546114	0,000106	-0,35998
0,000108	1,1978	0,000108	0,0563817	0,000108	0,752144
0,00011	-0,137878	0,00011	0,0330449	0,00011	1,57168
0,000112	-1,43138	0,000112	-0,00767396	0,000112	1,79571
0,000114	-2,18411	0,000114	-0,0514507	0,000114	1,32978
0,000116	-2,10992	0,000116	-0,0791331	0,000116	0,357991
0,000118	-1,23278	0,000118	-0,0809034	0,000118	-0,755418
0,00012	0,0988709	0,00012	-0,0585322	0,00012	-1,5743
0,000122	1,3977	0,000122	-0,0176525	0,000122	-1,80139
0,000124	2,15382	0,000124	0,0259633	0,000124	-1,33256
0,000126	2,07962	0,000126	0,0538066	0,000126	-0,360624
0,000128	1,20054	0,000128	0,0560598	0,000128	0,754075
0,00013	-0,137556	0,00013	0,0328839	0,00013	1,57361
0,000132	-1,43524	0,000132	-0,00799585	0,000132	1,79684
0,000134	-2,18411	0,000134	-0,0517726	0,000134	1,32833
0,000136	-2,10606	0,000136	-0,0784893	0,000136	0,356864
0,000138	-1,23294	0,000138	-0,0815472	0,000138	-0,754131
0,00014	0,106435	0,00014	-0,0578885	0,00014	-1,57462
0,000142	1,40204	0,000142	-0,0178134	0,000142	-1,80107
0,000144	2,15624	0,000144	0,026768	0,000144	-1,33385
0,000146	2,07689	0,000146	0,0550942	0,000146	-0,357083
0,000148	1,19973	0,000148	0,0562208	0,000148	0,753432
0,00015	-0,138682	0,00015	0,0330449	0,00015	1,57618
0,000152	-1,43106	0,000152	-0,00815679	0,000152	1,79539
0,000154	-2,18428	0,000154	-0,050646	0,000154	1,3367
0,000156	-2,11072	0,000156	-0,0794549	0,000156	0,355577
0,000158	-1,23406	0,000158	-0,0817082	0,000158	-0,754775
0,00016	0,10547	0,00016	-0,0582103	0,00016	-1,57575
0,000162	1,40301	0,000162	-0,0171697	0,000162	-1,8022
0,000164	2,15076	0,000164	0,0270899	0,000164	-1,33482
0,000166	2,07673	0,000166	0,0550942	0,000166	-0,359175
0,000168	1,1978	0,000168	0,0560598	0,000168	0,753271
0,00017	-0,139809	0,00017	0,0328839	0,00017	1,57506
0,000172	-1,42945	0,000172	-0,00799585	0,000172	1,7962
0,000174	-2,18524	0,000174	-0,0511288	0,000174	1,33074
0,000176	-2,10815	0,000176	-0,079294	0,000176	0,358152
0,000178	-1,23117	0,000178	-0,0813863	0,000178	-0,754614
0,00018	0,109493	0,00018	-0,0577275	0,00018	-1,57736
0,000182	1,4014	0,000182	-0,0179744	0,000182	-1,79608
0,000184	2,15704	0,000184	0,0264462	0,000184	-1,33514
0,000186	2,07753	0,000186	0,0544504	0,000186	-0,358371
0,000188	1,20054	0,000188	0,0565427	0,000188	0,757294
0,00019	-0,140453	0,00019	0,0328839	0,00019	1,57409
0,000192	-1,43058	0,000192	-0,00815679	0,000192	1,79668
0,000194	-2,18331	0,000194	-0,0511288	0,000194	1,3301
0,000196	-2,10783	0,000196	-0,0788112	0,000196	0,35606
0,000198	-1,22698	0,000198	-0,0812253	0,000198	-0,755097
