Time - V_S	Amplitude - V_S	Time - V_R	Amplitude - V_R	Time - V_C	Amplitude - V_C
0,000174	2,48024	0,000174	0,137838	0,000174	0,0394677
0,000176	2,48072	0,000176	0,172936	0,000176	0,0281978
0,000178	2,47654	0,000178	0,204653	0,000178	0,0195038
0,00018	2,47251	0,00018	0,235564	0,00018	0,0149959
0,000182	2,46543	0,000182	0,266637	0,000182	0,0114539
0,000184	2,4635	0,000184	0,296744	0,000184	0,00839492
0,000186	2,46205	0,000186	0,327334	0,000186	0,00678494
0,000188	2,45383	0,000188	0,355026	0,000188	0,00694593
0,00019	2,45061	0,00019	0,383844	0,00019	0,00614094
0,000192	2,44578	0,000192	0,410892	0,000192	0,00775093
0,000194	2,44128	0,000194	0,43794	0,000194	0,00678494
0,000196	2,43516	0,000196	0,464183	0,000196	0,00758993
0,000198	2,43226	0,000198	0,489138	0,000198	0,00758993
