Frequency - Plot 0	Amplitude - Plot 0
299,56	0,0204621
296,794	0,0207435
400,66	0,0274712
398,989	0,0274229
400,377	0,0274399
399,936	0,0273702
500,085	0,034434
499,559	0,0340634
499,182	0,0343722
599,88	0,0414092
599,107	0,0415595
599,907	0,0414581
700,098	0,0483561
699,763	0,048624
699,83	0,0483816
799,952	0,055708
800,438	0,055503
799,972	0,0553446
900,148	0,0625918
899,8	0,0627417
899,635	0,062975
1000,14	0,0699788
999,792	0,0700069
1000,53	0,0698142
1099,66	0,0773649
1100,62	0,0773315
1100,06	0,0771489
1100,04	0,0771268
1199,92	0,0846614
1200,04	0,0846117
1199,97	0,0845253
1299,62	0,0918812
1299,93	0,0919526
1299,75	0,0922728
1399,99	0,0993363
1400	0,0994007
1399,77	0,0991878
1500,14	0,106954
1500,11	0,106821
1499,8	0,10693
1599,85	0,114458
1599,79	0,114329
1600,31	0,1142
1700,11	0,121953
1700,06	0,121777
1700,11	0,121876
1800,16	0,129237
1799,79	0,129128
1800,22	0,129329
1799,9	0,1291
1900,12	0,136764
1900,02	0,13674
1899,94	0,13667
2000,14	0,143991
1999,83	0,144261
1999,73	0,14403
2100,02	0,1517
2100,04	0,151968
2099,91	0,151681
2199,95	0,159178
2200,01	0,15893
2199,77	0,159103
2300,07	0,16664
2300,17	0,166645
2300,05	0,166506
2400,19	0,174222
2400,22	0,1742
2400,18	0,174092
2500,02	0,181646
2500,19	0,181616
2499,94	0,181736
2600,05	0,188984
2600,1	0,189054
2599,96	0,189072
2600,28	0,189219
2700,24	0,196607
2700,22	0,196537
2700,05	0,196771
2799,9	0,204012
2799,98	0,203861
2799,78	0,204065
2899,94	0,211507
2900,01	0,21153
2899,93	0,211627
2999,98	0,218931
2999,97	0,218828
3000,06	0,21887
3099,94	0,226368
3100,11	0,226483
3100,04	0,226322
3200,09	0,23386
3199,91	0,233688
3200,09	0,233856
3200,01	0,233751
3300,15	0,241273
3300,01	0,241389
3300,05	0,241066
3400,28	0,248669
3400,15	0,248592
3400,05	0,248382
3499,97	0,255832
3499,94	0,256024
3499,87	0,256066
3599,88	0,26334
3599,89	0,263378
3599,88	0,263241
3700,02	0,270662
3700	0,270733
3699,91	0,270651
3800,03	0,278048
3800,04	0,277945
3800,03	0,278051
3900,06	0,28534
3900,08	0,285315
3900,01	0,285263
3899,97	0,285457
3999,98	0,29264
4000	0,292437
4000,13	0,292866
4100,11	0,300143
4100,05	0,299934
4100,2	0,300073
4200,07	0,307393
4200,2	0,307519
4200,18	0,307334
4299,96	0,314701
4299,86	0,314614
4300,03	0,314941
4299,92	0,314676
4399,97	0,322106
4400,05	0,321914
4399,92	0,321887
4499,98	0,329333
4500,13	0,329382
4499,99	0,329306
4599,98	0,33632
4600,02	0,336221
4600,12	0,336515
4599,98	0,336443
4700,07	0,343691
4700,02	0,343769
4700,01	0,343844
4800,2	0,351069
4800,17	0,350875
4800,09	0,350923
4900,14	0,358241
4900,15	0,358096
4900,13	0,358117
5000,15	0,365224
5000,04	0,365435
5000,23	0,365501
5000,2	0,365336
