Time - V_C	Amplitude - V_C	Time - V_R	Amplitude - V_R	Time - V_S	Amplitude - V_S
0,00164	-1,9493	0,00164	-1,36362	0,00164	0,003914
0,00166	-1,96571	0,00166	-1,37505	0,00166	0,00471872
0,00168	-1,98181	0,00168	-1,38648	0,00168	0,00101701
0,0017	-1,99307	0,0017	-1,39742	0,0017	-0,00204092
0,00172	-2,00611	0,00172	-1,40804	0,00172	0,00294834
0,00174	-2,01738	0,00174	-1,41883	0,00174	0,00407495
0,00176	-2,03218	0,00176	-1,42945	0,00176	0,00117796
0,00178	-2,04619	0,00178	-1,43959	0,00178	0,00439684
0,0018	-2,05777	0,0018	-1,44973	0,0018	0,000695125
0,00182	-2,06727	0,00182	-1,45922	0,00182	5,13E-05
0,00184	-2,08127	0,00184	-1,46936	0,00184	0,00230456
0,00186	-2,08851	0,00186	-1,47822	0,00186	0,00101701
0,00188	-2,09978	0,00188	-1,48739	0,00188	0,00375306
0,0019	-2,11056	0,0019	-1,49592	0,0019	0,0013389
0,00192	-2,12215	0,00192	-1,50477	0,00192	0,0013389
0,00194	-2,13631	0,00194	-1,51298	0,00194	0,00439684
0,00196	-2,14034	0,00196	-1,52087	0,00196	0,0027874
0,00198	-2,14935	0,00198	-1,52907	0,00198	-0,0026847
0,002	-2,15434	0,002	-1,53664	0,002	5,13E-05
0,00202	-2,16464	0,00202	-1,54372	0,00202	-0,00171903
0,00204	-2,17462	0,00204	-1,5508	0,00204	0,00117796
0,00206	-2,18202	0,00206	-1,55804	0,00206	0,00343117
0,00208	-2,18798	0,00208	-1,56464	0,00208	0,00149984
0,0021	-2,19828	0,0021	-1,57108	0,0021	-0,000270539
0,00212	-2,20327	0,00212	-1,57752	0,00212	0,00375306
0,00214	-2,20874	0,00214	-1,58315	0,00214	-0,00171903
0,00216	-2,2163	0,00216	-1,58894	0,00216	-0,00155809
0,00218	-2,21968	0,00218	-1,5941	0,00218	0,00455778
0,0022	-2,22741	0,0022	-1,59925	0,0022	0,00423589
0,00222	-2,22902	0,00222	-1,60407	0,00222	0,00117796
0,00224	-2,23642	0,00224	-1,60874	0,00224	-0,00236281
0,00226	-2,24077	0,00226	-1,61325	0,00226	-0,000431483
0,00228	-2,24093	0,00228	-1,61743	0,00228	-0,00139715
0,0023	-2,25026	0,0023	-1,62129	0,0023	0,00632816
0,00232	-2,25075	0,00232	-1,625	0,00232	-0,000753371
0,00234	-2,24849	0,00234	-1,62838	0,00234	0,000373237
0,00236	-2,25622	0,00236	-1,63176	0,00236	0,00101701
0,00238	-2,25895	0,00238	-1,63417	0,00238	-0,00284564
0,0024	-2,2596	0,0024	-1,63707	0,0024	0,000212293
0,00242	-2,26217	0,00242	-1,63916	0,00242	0,00149984
0,00244	-2,26137	0,00244	-1,64125	0,00244	-0,000753371
0,00246	-2,26121	0,00246	-1,64334	0,00246	-0,00107526
0,00248	-2,26137	0,00248	-1,64495	0,00248	-0,00187998
0,0025	-2,26088	0,0025	-1,6464	0,0025	-0,000914315
0,00252	-2,25976	0,00252	-1,64737	0,00252	-0,00171903
0,00254	-2,26346	0,00254	-1,64801	0,00254	-0,0012362
0,00256	-2,26105	0,00256	-1,64882	0,00256	-0,00107526
0,00258	-2,25734	0,00258	-1,64898	0,00258	5,13E-05
0,0026	-2,26056	0,0026	-1,64882	0,0026	0,000534181
0,00262	-2,25171	0,00262	-1,64865	0,00262	-0,000431483
0,00264	-2,25525	0,00264	-1,64801	0,00264	-0,00171903
0,00266	-2,24592	0,00266	-1,64721	0,00266	-0,00139715
0,00268	-2,24978	0,00268	-1,64608	0,00268	-0,00316753
0,0027	-2,2427	0,0027	-1,64463	0,0027	-0,00236281
0,00272	-2,23964	0,00272	-1,64318	0,00272	0,000373237
0,00274	-2,23529	0,00274	-1,64093	0,00274	-0,00558169
0,00276	-2,2295	0,00276	-1,639	0,00276	-0,00139715
0,00278	-2,2287	0,00278	-1,63658	0,00278	0,000695125
0,0028	-2,21759	0,0028	-1,63401	0,0028	0,000212293
0,00282	-2,21663	0,00282	-1,63111	0,00282	-0,000592427
0,00284	-2,20391	0,00284	-1,62789	0,00284	-0,00348942
0,00286	-2,20616	0,00286	-1,62435	0,00286	-0,00220187
0,00288	-2,19329	0,00288	-1,62097	0,00288	-0,00397225
0,0029	-2,18444	0,0029	-1,61647	0,0029	0,000212293
0,00292	-2,17864	0,00292	-1,61276	0,00292	-0,00107526
0,00294	-2,17092	0,00294	-1,60778	0,00294	-0,00429414
0,00296	-2,16126	0,00296	-1,60327	0,00296	-0,00461603
0,00298	-2,15659	0,00298	-1,59844	0,00298	-0,00252375
0,003	-2,14919	0,003	-1,59313	0,003	-0,0012362
0,00302	-2,13519	0,00302	-1,5875	0,00302	-0,00558169
0,00304	-2,1339	0,00304	-1,5817	0,00304	-0,00397225
0,00306	-2,11829	0,00306	-1,57591	0,00306	-0,00220187
0,00308	-2,11169	0,00308	-1,56963	0,00308	-0,00171903
0,0031	-2,10155	0,0031	-1,56303	0,0031	-0,0052598
0,00312	-2,08787	0,00312	-1,55643	0,00312	-0,00300659
0,00314	-2,07435	0,00314	-1,54951	0,00314	-0,00300659
0,00316	-2,06389	0,00316	-1,54227	0,00316	-0,00139715
0,00318	-2,05649	0,00318	-1,53503	0,00318	0,00246551
0,0032	-2,04184	0,0032	-1,5273	0,0032	-0,00703018
0,00322	-2,02784	0,00322	-1,51926	0,00322	-0,00735207
0,00324	-2,01271	0,00324	-1,51137	0,00324	-0,00461603
0,00326	-1,99919	0,00326	-1,503	0,00326	-0,00445508
0,00328	-1,98696	0,00328	-1,49431	0,00328	-0,00799585
0,0033	-1,97698	0,0033	-1,48546	0,0033	-0,00606452
0,00332	-1,95847	0,00332	-1,47628	0,00332	-0,00429414
0,00334	-1,94721	0,00334	-1,46695	0,00334	-0,00445508
0,00336	-1,93497	0,00336	-1,45761	0,00336	-0,00654735
0,00338	-1,92065	0,00338	-1,44731	0,00338	-0,00542074
0,0034	-1,90536	0,0034	-1,43782	0,0034	-0,00348942
0,00342	-1,88444	0,00342	-1,42752	0,00342	-0,00300659
0,00344	-1,87317	0,00344	-1,41706	0,00344	-0,00880057
0,00346	-1,85627	0,00346	-1,40627	0,00346	-0,00348942
0,00348	-1,83712	0,00348	-1,39581	0,00348	-0,00461603
0,0035	-1,82473	0,0035	-1,38422	0,0035	-0,00574263
0,00352	-1,80606	0,00352	-1,37328	0,00352	-0,000914315
0,00354	-1,78819	0,00354	-1,36169	0,00354	-0,00799585
0,00356	-1,76936	0,00356	-1,34994	0,00356	-0,00719113
0,00358	-1,75359	0,00358	-1,33755	0,00358	-0,00381131
0,0036	-1,73524	0,0036	-1,32596	0,0036	-0,0112147
0,00362	-1,71641	0,00362	-1,31325	0,00362	-0,00171903
0,00364	-1,69935	0,00364	-1,30102	0,00364	-0,00445508
0,00366	-1,67956	0,00366	-1,28814	0,00366	-0,00348942
0,00368	-1,66411	0,00368	-1,27543	0,00368	-0,00719113
0,0037	-1,64125	0,0037	-1,26255	0,0037	-0,00348942
0,00372	-1,62017	0,00372	-1,24903	0,00372	-0,000270539
0,00374	-1,60778	0,00374	-1,236	0,00374	-0,00332847
0,00376	-1,58363	0,00376	-1,22232	0,00376	-0,00606452
0,00378	-1,55756	0,00378	-1,20799	0,00378	-0,00606452
0,0038	-1,54227	0,0038	-1,19399	0,0038	-0,00590358
0,00382	-1,51475	0,00382	-1,17983	0,00382	-0,00735207
