Time - V_S	Amplitude - V_S	Time - V_R	Amplitude - V_R	Time - V_C	Amplitude - V_C
0	-1,41338	0	-1,20602	0	-3,21336
2,00E-06	-1,98686	2,00E-06	-1,68853	2,00E-06	-2,26603
4,00E-06	-2,1308	4,00E-06	-1,96191	4,00E-06	-1,61817
6,00E-06	-2,23174	6,00E-06	-2,13128	6,00E-06	-1,17028
8,00E-06	-2,30918	8,00E-06	-2,23786	8,00E-06	-0,855362
1,00E-05	-2,35974	1,00E-05	-2,31417	1,00E-05	-0,63254
1,20E-05	-2,39661	1,20E-05	-2,36811	1,20E-05	-0,477177
1,40E-05	-2,42285	1,40E-05	-2,40256	1,40E-05	-0,366732
1,60E-05	-2,44249	1,60E-05	-2,42752	1,60E-05	-0,293478
1,80E-05	-2,45891	1,80E-05	-2,44925	1,80E-05	-0,234713
2,00E-05	-2,47179	2,00E-05	-2,46519	2,00E-05	-0,196878
2,20E-05	-2,47759	2,20E-05	-2,47131	2,20E-05	-0,168382
2,40E-05	-2,48129	2,40E-05	-2,47952	2,40E-05	-0,149706
2,60E-05	-2,48773	2,60E-05	-2,48757	2,60E-05	-0,134894
2,80E-05	-2,4866	2,80E-05	-2,48854	2,80E-05	-0,122497
3,00E-05	-2,48966	3,00E-05	-2,49224	3,00E-05	-0,116218
3,20E-05	-2,49337	3,20E-05	-2,49433	3,20E-05	-0,108973
3,40E-05	-2,49095	3,40E-05	-2,49659	3,40E-05	-0,103821
3,60E-05	-2,49337	3,60E-05	-2,49868	3,60E-05	-0,102855
3,80E-05	-2,49514	3,80E-05	-2,49804	3,80E-05	-0,101084
4,00E-05	-2,49787	4,00E-05	-2,49852	4,00E-05	-0,0999572
4,20E-05	-2,49449	4,20E-05	-2,49723	4,20E-05	-0,0983472
4,40E-05	-2,49546	4,40E-05	-2,50109	4,40E-05	-0,0946443
4,60E-05	-2,49739	4,60E-05	-2,5019	4,60E-05	-0,0960932
4,80E-05	-2,49723	4,80E-05	-2,50045	4,80E-05	-0,0962542
5,00E-05	-2,49659	5,00E-05	-2,50077	5,00E-05	-0,0964152
5,20E-05	-2,49691	5,20E-05	-2,50093	5,20E-05	-0,0959322
5,40E-05	-2,49884	5,40E-05	-2,49997	5,40E-05	-0,0956102
5,60E-05	-2,49804	5,60E-05	-2,50013	5,60E-05	-0,0956102
5,80E-05	-2,49852	5,80E-05	-2,50013	5,80E-05	-0,0968982
6,00E-05	-2,49932	6,00E-05	-2,50061	6,00E-05	-0,0930343
6,20E-05	-2,49771	6,20E-05	-2,50142	6,20E-05	-0,0936783
6,40E-05	-2,49626	6,40E-05	-2,5019	6,40E-05	-0,0935173
6,60E-05	-2,49755	6,60E-05	-2,49948	6,60E-05	-0,0925513
6,80E-05	-2,49739	6,80E-05	-2,49997	6,80E-05	-0,0930343
7,00E-05	-2,49626	7,00E-05	-2,50013	7,00E-05	-0,0962542
7,20E-05	-2,50142	7,20E-05	-2,49836	7,20E-05	-0,0951273
7,40E-05	-2,49932	7,40E-05	-2,49981	7,40E-05	-0,0923903
7,60E-05	-2,49739	7,60E-05	-2,5027	7,60E-05	-0,0968982
7,80E-05	-2,49659	7,80E-05	-2,49836	7,80E-05	-0,0931953
8,00E-05	-2,49868	8,00E-05	-2,49884	8,00E-05	-0,0949663
8,20E-05	-2,49755	8,20E-05	-2,49932	8,20E-05	-0,0957712
8,40E-05	-2,49739	8,40E-05	-2,50142	8,40E-05	-0,0941613
8,60E-05	-2,49643	8,60E-05	-2,49787	8,60E-05	-0,0922293
8,80E-05	-2,49707	8,80E-05	-2,49997	8,80E-05	-0,0941613
9,00E-05	-2,49836	9,00E-05	-2,50013	9,00E-05	-0,0943223
9,20E-05	-2,49578	9,20E-05	-2,50045	9,20E-05	-0,0938393
9,40E-05	-2,49916	9,40E-05	-2,50093	9,40E-05	-0,0940003
9,60E-05	-2,49868	9,60E-05	-2,49981	9,60E-05	-0,0906193
9,80E-05	-2,4982	9,80E-05	-2,49965	9,80E-05	-0,0956102
1,00E-04	-2,4982	1,00E-04	-2,50367	1,00E-04	-0,0973812
0,000102	-2,49916	0,000102	-2,50383	0,000102	-0,0968982
0,000104	-2,49868	0,000104	-2,50206	0,000104	-0,0946443
0,000106	-2,49755	0,000106	-2,50142	0,000106	-0,0936783
0,000108	-2,49723	0,000108	-2,50367	0,000108	-0,0968982
0,00011	-2,49932	0,00011	-2,5027	0,00011	-0,0956102
0,000112	-2,49948	0,000112	-2,50367	0,000112	-0,0959322
0,000114	-2,49562	0,000114	-2,50705	0,000114	-0,0938393
0,000116	-2,49884	0,000116	-2,5056	0,000116	-0,0957712
0,000118	-2,49932	0,000118	-2,50222	0,000118	-0,0952883
0,00012	-2,49707	0,00012	-2,499	0,00012	-0,0930343
0,000122	-2,49948	0,000122	-2,50238	0,000122	-0,0975422
0,000124	-2,50077	0,000124	-2,5027	0,000124	-0,0964152
0,000126	-2,49659	0,000126	-2,50367	0,000126	-0,0940003
0,000128	-2,49916	0,000128	-2,50158	0,000128	-0,0952883
0,00013	-2,49755	0,00013	-2,50303	0,00013	-0,0956102
0,000132	-2,49771	0,000132	-2,50464	0,000132	-0,0952883
0,000134	-2,50045	0,000134	-2,50383	0,000134	-0,0965762
0,000136	-2,50029	0,000136	-2,49852	0,000136	-0,0965762
0,000138	-2,49916	0,000138	-2,50061	0,000138	-0,0927123
0,00014	-2,50045	0,00014	-2,5019	0,00014	-0,0968982
0,000142	-2,49997	0,000142	-2,50077	0,000142	-0,0978642
0,000144	-2,49852	0,000144	-2,50045	0,000144	-0,0946443
0,000146	-2,49916	0,000146	-2,50077	0,000146	-0,0936783
0,000148	-2,50093	0,000148	-2,50351	0,000148	-0,0949663
0,00015	-2,50029	0,00015	-2,50029	0,00015	-0,0943223
0,000152	-2,49836	0,000152	-2,50351	0,000152	-0,0978642
0,000154	-2,49804	0,000154	-2,50319	0,000154	-0,0977032
0,000156	-2,49755	0,000156	-2,50351	0,000156	-0,0915853
0,000158	-2,49401	0,000158	-2,5027	0,000158	-0,0935173
0,00016	-2,49916	0,00016	-2,50109	0,00016	-0,0943223
0,000162	-2,49771	0,000162	-2,50222	0,000162	-0,0938393
0,000164	-2,49884	0,000164	-2,50528	0,000164	-0,0949663
0,000166	-2,4982	0,000166	-2,5019	0,000166	-0,0946443
0,000168	-2,499	0,000168	-2,50238	0,000168	-0,0957712
0,00017	-2,49916	0,00017	-2,50174	0,00017	-0,0936783
0,000172	-2,50013	0,000172	-2,50383	0,000172	-0,0923903
0,000174	-2,50077	0,000174	-2,50415	0,000174	-0,0957712
0,000176	-2,49981	0,000176	-2,50303	0,000176	-0,0959322
0,000178	-2,49804	0,000178	-2,50367	0,000178	-0,0951273
0,00018	-2,50158	0,00018	-2,50335	0,00018	-0,0948053
0,000182	-2,49787	0,000182	-2,50351	0,000182	-0,0936783
0,000184	-2,50029	0,000184	-2,50431	0,000184	-0,0957712
0,000186	-2,50077	0,000186	-2,50013	0,000186	-0,0938393
0,000188	-2,49932	0,000188	-2,50206	0,000188	-0,0952883
0,00019	-2,49965	0,00019	-2,50399	0,00019	-0,0946443
0,000192	-2,49932	0,000192	-2,50174	0,000192	-0,0956102
0,000194	-2,49755	0,000194	-2,50142	0,000194	-0,0964152
0,000196	-2,49707	0,000196	-2,50367	0,000196	-0,0967372
0,000198	-2,49948	0,000198	-2,50383	0,000198	-0,0928733
0,0002	-2,50158	0,0002	-2,50109	0,0002	-0,0940003
0,000202	-2,49965	0,000202	-2,50254	0,000202	-0,0965762
0,000204	-2,50013	0,000204	-2,50528	0,000204	-0,0923903
0,000206	-2,5019	0,000206	-2,50319	0,000206	-0,0920683
0,000208	-2,49804	0,000208	-2,50174	0,000208	-0,0912633
0,00021	-2,49884	0,00021	-2,50158	0,00021	-0,0930343
0,000212	-2,49804	0,000212	-2,50335	0,000212	-0,0940003
0,000214	-2,49948	0,000214	-2,50287	0,000214	-0,0946443
0,000216	-2,50158	0,000216	-2,50238	0,000216	-0,0956102
0,000218	-2,50093	0,000218	-2,50222	0,000218	-0,0946443
0,00022	-2,49836	0,00022	-2,5027	0,00022	-0,0956102
0,000222	-2,50061	0,000222	-2,50383	0,000222	-0,0957712
0,000224	-2,4982	0,000224	-2,50415	0,000224	-0,0954492
0,000226	-2,50319	0,000226	-2,50689	0,000226	-0,0935173
0,000228	-2,50029	0,000228	-2,50528	0,000228	-0,0943223
0,00023	-2,50093	0,00023	-2,50287	0,00023	-0,0936783
0,000232	-2,50222	0,000232	-2,50351	0,000232	-0,0948053
0,000234	-2,50077	0,000234	-2,5027	0,000234	-0,0964152
0,000236	-2,50045	0,000236	-2,5019	0,000236	-0,0943223
0,000238	-2,499	0,000238	-2,50367	0,000238	-0,0962542
0,00024	-2,49868	0,00024	-2,50399	0,00024	-0,0968982
0,000242	-2,49997	0,000242	-2,50512	0,000242	-0,0962542
0,000244	-2,50158	0,000244	-2,50609	0,000244	-0,0978642
0,000246	-2,50174	0,000246	-2,50415	0,000246	-0,0962542
0,000248	-2,50077	0,000248	-2,50287	0,000248	-0,0951273
0,00025	-2,50254	0,00025	-2,5019	0,00025	-0,0938393
0,000252	-2,50093	0,000252	-2,50464	0,000252	-0,0959322
0,000254	-2,49852	0,000254	-2,50367	0,000254	-0,0920683
0,000256	-2,50045	0,000256	-2,50093	0,000256	-0,0938393
0,000258	-2,49948	0,000258	-2,5027	0,000258	-0,0948053
0,00026	-2,49997	0,00026	-2,50254	0,00026	-0,0954492
0,000262	-2,49948	0,000262	-2,50142	0,000262	-0,0927123
