Time - V_S	Amplitude - V_S	Time - V_R	Amplitude - V_R	Time - V_C	Amplitude - V_C
0	-2,31466	0	-0,854879	0	1,26355
2,00E-06	-2,72166	2,00E-06	-1,96947	2,00E-06	1,15906
4,00E-06	-2,70122	4,00E-06	-2,40305	4,00E-06	1,08001
6,00E-06	-2,68914	6,00E-06	-2,5729	6,00E-06	1,01223
8,00E-06	-2,68174	8,00E-06	-2,63279	8,00E-06	0,949436
1,00E-05	-2,67143	1,00E-05	-2,65565	1,00E-05	0,890188
1,20E-05	-2,66467	1,20E-05	-2,66258	1,20E-05	0,833194
1,40E-05	-2,65372	1,40E-05	-2,65791	1,40E-05	0,777166
1,60E-05	-2,64632	1,60E-05	-2,65115	1,60E-05	0,725968
1,80E-05	-2,63827	1,80E-05	-2,64599	1,80E-05	0,671067
2,00E-05	-2,63295	2,00E-05	-2,63682	2,00E-05	0,621318
2,20E-05	-2,62297	2,20E-05	-2,62812	2,20E-05	0,573019
2,40E-05	-2,61347	2,40E-05	-2,62136	2,40E-05	0,525202
2,60E-05	-2,60639	2,60E-05	-2,61508	2,60E-05	0,477707
2,80E-05	-2,59979	2,80E-05	-2,60671	2,80E-05	0,430212
3,00E-05	-2,58932	3,00E-05	-2,59866	3,00E-05	0,386581
3,20E-05	-2,58481	3,20E-05	-2,58771	3,20E-05	0,344239
3,40E-05	-2,57435	3,40E-05	-2,58224	3,40E-05	0,300769
3,60E-05	-2,56727	3,60E-05	-2,57548	3,60E-05	0,261324
3,80E-05	-2,56517	3,80E-05	-2,56952	3,80E-05	0,221235
4,00E-05	-2,55503	4,00E-05	-2,55873	4,00E-05	0,18002
4,20E-05	-2,54231	4,20E-05	-2,55181	4,20E-05	0,142829
4,40E-05	-2,53796	4,40E-05	-2,54617	4,40E-05	0,105316
4,60E-05	-2,53072	4,60E-05	-2,53973	4,60E-05	0,0698965
4,80E-05	-2,52202	4,80E-05	-2,53168	4,80E-05	0,0336717
5,00E-05	-2,5188	5,00E-05	-2,52621	5,00E-05	-0,000943004
5,20E-05	-2,51768	5,20E-05	-2,52219	5,20E-05	-0,0339477
5,40E-05	-2,51043	5,40E-05	-2,5151	5,40E-05	-0,0692065
5,60E-05	-2,49997	5,60E-05	-2,50512	5,60E-05	-0,100762
5,80E-05	-2,49546	5,80E-05	-2,49965	5,80E-05	-0,132801
6,00E-05	-2,48918	6,00E-05	-2,49272	6,00E-05	-0,164679
