Frequency - Plot 0	Amplitude - Plot 0
100,554	1,62201
100,635	1,62003
100,658	1,6194
200,046	1,62378
200,047	1,62378
200,046	1,62377
300,073	1,60597
300,076	1,60588
300,074	1,606
399,916	1,58312
399,915	1,58331
399,914	1,58323
499,94	1,55614
499,938	1,55608
499,937	1,55602
499,941	1,55588
599,967	1,52518
599,963	1,52505
599,964	1,52535
699,991	1,49197
699,99	1,49184
699,991	1,49208
800,015	1,45686
800,014	1,45684
800,015	1,45684
800,015	1,45688
900,039	1,42006
900,039	1,42016
900,039	1,42019
1000,06	1,38235
1000,06	1,38239
1000,06	1,38225
1100,09	1,3446
1100,09	1,3448
1100,09	1,34522
1100,09	1,34519
1199,93	1,30758
1199,93	1,30787
1199,93	1,30745
1299,95	1,27011
1299,95	1,27079
1299,95	1,27093
1399,98	1,2346
1399,98	1,23505
1399,98	1,23501
1399,98	1,23509
1500	1,19934
1500,01	1,19975
1500	1,19983
1600,03	1,16534
1600,03	1,16557
1600,03	1,16566
1700,05	1,13207
1700,05	1,13225
1700,05	1,1322
1700,05	1,13219
1800,08	1,09998
1800,08	1,10004
1800,08	1,1001
1900,11	1,06899
1900,11	1,06932
1900,1	1,06954
1999,94	1,0395
1999,94	1,03978
1999,94	1,03986
1999,94	1,0399
2099,97	1,01127
2099,97	1,01123
2099,97	1,0113
2199,99	0,98362
2199,99	0,983878
2199,99	0,983962
2300,02	0,95743
2300,02	0,957681
2300,02	0,957793
2400,05	0,93223
2400,04	0,932559
2400,04	0,932661
2400,04	0,932689
2500,07	0,908161
2500,07	0,908422
2500,07	0,908481
2600,09	0,885022
2600,1	0,885277
2600,1	0,885299
2700,12	0,862851
2700,12	0,863064
2700,12	0,86313
2700,12	0,863166
2799,96	0,841841
2799,96	0,841919
2799,96	0,842
2899,98	0,821304
2899,98	0,821476
2899,98	0,821511
3000,01	0,801752
3000,01	0,801976
3000,01	0,802021
3100,03	0,783012
3100,03	0,783191
3100,03	0,783297
3100,03	0,783286
3200,06	0,765228
3200,06	0,765278
3200,06	0,765311
3300,08	0,747809
3300,08	0,747962
3300,08	0,748038
3400,11	0,731215
3400,11	0,73141
3400,11	0,731458
3499,95	0,715288
3499,95	0,715527
3499,95	0,715564
3499,95	0,715602
3599,97	0,700017
3599,97	0,700206
3599,98	0,700244
3700	0,685369
3700	0,68549
3700	0,685524
3800,02	0,671137
3800,02	0,671297
3800,02	0,671399
3800,02	0,671405
3900,05	0,657534
3900,05	0,657692
3900,05	0,657733
4000,07	0,644335
4000,07	0,644503
4000,07	0,644564
4100,1	0,631763
4100,1	0,631899
4100,1	0,631953
4200,12	0,61957
4200,12	0,619712
4200,12	0,619737
4200,12	0,619765
4299,96	0,607835
4299,96	0,607947
4299,96	0,608013
4399,99	0,59648
4399,99	0,596612
4399,99	0,596636
4500,01	0,585499
4500,01	0,585646
4500,02	0,585701
4600,04	0,574928
4600,04	0,575051
4600,04	0,575083
4600,04	0,575086
4700,06	0,564654
4700,06	0,564791
4700,06	0,564842
4800,08	0,554795
4800,09	0,554914
4800,09	0,55494
4900,11	0,545209
4900,11	0,545308
4900,11	0,54536
4900,11	0,545362
5000,14	0,536023
5000,14	0,536059
5000,14	0,536101
