Time - V_S	Amplitude - V_S	Time - V_R	Amplitude - V_R	Time - V_C	Amplitude - V_C
0,000178	2,49135	0,000178	2,49006	0,000178	0,12206
0,00018	2,49618	0,00018	2,49312	0,00018	0,113527
0,000182	2,49521	0,000182	2,49376	0,000182	0,112239
0,000184	2,50004	0,000184	2,49747	0,000184	0,106121
0,000186	2,49747	0,000186	2,49666	0,000186	0,101935
0,000188	2,50036	0,000188	2,49602	0,000188	0,101774
0,00019	2,50053	0,00019	2,49457	0,00019	0,100003
0,000192	2,49972	0,000192	2,4965	0,000192	0,100003
0,000194	2,49795	0,000194	2,49827	0,000194	0,0975883
0,000196	2,50165	0,000196	2,49956	0,000196	0,0975883
0,000198	2,50278	0,000198	2,49634	0,000198	0,0942073
