Time - V_C	Amplitude - V_C	Time - V_R	Amplitude - V_R	Time - V_S	Amplitude - V_S
0	-0,0205495	0	-0,720333	0	-0,0696374
2,00E-05	0,267218	2,00E-05	-0,565827	2,00E-05	-0,0673841
4,00E-05	0,552734	4,00E-05	-0,402952	4,00E-05	-0,0619121
6,00E-05	0,831812	6,00E-05	-0,234444	6,00E-05	-0,0662575
8,00E-05	1,09785	8,00E-05	-0,0623949	8,00E-05	-0,0606245
0,0001	1,34346	0,0001	0,110137	0,0001	-0,0559571
0,00012	1,56975	0,00012	0,280899	0,00012	-0,0472662
0,00014	1,76996	0,00014	0,44651	0,00014	-0,0424378
0,00016	1,93928	0,00016	0,605363	0,00016	-0,0316546
0,00018	2,08204	0,00018	0,754719	0,00018	-0,0237684
0,0002	2,18762	0,0002	0,892166	0,0002	-0,0213542
0,00022	2,26198	0,00022	1,01577	0,00022	-0,00912246
0,00024	2,29658	0,00024	1,12377	0,00024	-0,00445508
0,00026	2,30447	0,00026	1,2139	0,00026	0,0111565
0,00028	2,26713	0,00028	1,28519	0,00028	0,0134097
0,0003	2,18891	0,0003	1,3367	0,0003	0,0307916
0,00032	2,08268	0,00032	1,36712	0,00032	0,0348152
0,00034	1,94362	0,00034	1,37548	0,00034	0,0409311
0,00036	1,7756	0,00036	1,361	0,00036	0,0446328
0,00038	1,57393	0,00038	1,32463	0,00038	0,0505878
0,0004	1,34877	0,0004	1,26636	0,0004	0,0573474
0,00042	1,10365	0,00042	1,18702	0,00042	0,0628195
0,00044	0,841468	0,00044	1,08804	0,00044	0,0708667
0,00046	0,563678	0,00046	0,972478	0,00046	0,0708667
0,00048	0,27768	0,00048	0,840825	0,00048	0,0668431
0,0005	-0,0108928	0,0005	0,696135	0,0005	0,0689354
0,00052	-0,30027	0,00052	0,541629	0,00052	0,0660384
0,00054	-0,58514	0,00054	0,378592	0,00054	0,0663603
0,00056	-0,863894	0,00056	0,209922	0,00056	0,0650727
0,00058	-1,13106	0,00058	0,0381951	0,00058	0,0616929
0,0006	-1,37248	0,0006	-0,134176	0,0006	0,0554161
0,00062	-1,60069	0,00062	-0,304615	0,00062	0,0493002
0,00064	-1,80155	0,00064	-0,470387	0,00064	0,0417358
0,00066	-1,96845	0,00066	-0,628917	0,00066	0,0319183
0,00068	-2,11378	0,00068	-0,778433	0,00068	0,0261243
0,0007	-2,21952	0,0007	-0,91604	0,0007	0,0225835
0,00072	-2,29227	0,00072	-1,03948	0,00072	0,0106736
0,00074	-2,33057	0,00074	-1,14699	0,00074	0,0027874
0,00076	-2,33186	0,00076	-1,23744	0,00076	-0,00912246
0,00078	-2,29645	0,00078	-1,30906	0,00078	-0,0116976
0,0008	-2,21888	0,0008	-1,36008	0,0008	-0,0255387
0,00082	-2,11636	0,00082	-1,38986	0,00082	-0,0319765
0,00084	-1,97312	0,00084	-1,39855	0,00084	-0,0416331
0,00086	-1,80879	0,00086	-1,38439	0,00086	-0,0471052
0,00088	-1,60568	0,00088	-1,34753	0,00088	-0,053543
0,0009	-1,38149	0,0009	-1,28927	0,0009	-0,062073
0,00092	-1,13541	0,00092	-1,21008	0,00092	-0,0631996
0,00094	-0,874034	0,00094	-1,11159	0,00094	-0,064809
0,00096	-0,594958	0,00096	-0,995546	0,00096	-0,0712468
0,00098	-0,308317	0,00098	-0,864055	0,00098	-0,0702811
0,001	-0,0200666	0,001	-0,719689	0,001	-0,0728562
0,00102	0,267701	0,00102	-0,565344	0,00102	-0,0667404
0,00104	0,553056	0,00104	-0,402147	0,00104	-0,0656138
0,00106	0,828593	0,00106	-0,233639	0,00106	-0,0659357
0,00108	1,0993	0,00108	-0,0615902	0,00108	-0,059176
0,0011	1,34088	0,0011	0,110781	0,0011	-0,0545086
0,00112	1,57071	0,00112	0,281221	0,00112	-0,0487147
