Time - V_C	Amplitude - V_C	Time - V_R	Amplitude - V_R	Time - V_S	Amplitude - V_S
0	-0,000914315	0	-0,28498	0	-0,676878
2,00E-06	0,306972	2,00E-06	-0,26953	2,00E-06	-0,689753
4,00E-06	0,610996	4,00E-06	-0,250055	4,00E-06	-0,692329
6,00E-06	0,901984	6,00E-06	-0,227201	6,00E-06	-0,682994
8,00E-06	1,17833	8,00E-06	-0,199841	8,00E-06	-0,663359
1,00E-05	1,4397	1,00E-05	-0,170227	1,00E-05	-0,636642
1,20E-05	1,67629	1,20E-05	-0,137073	1,20E-05	-0,596567
1,40E-05	1,88713	1,40E-05	-0,103114	1,40E-05	-0,546996
1,60E-05	2,06771	1,60E-05	-0,0672232	1,60E-05	-0,486965
1,80E-05	2,21015	1,80E-05	-0,0313327	1,80E-05	-0,419207
2,00E-05	2,3241	2,00E-05	0,00681099	2,00E-05	-0,3463
2,20E-05	2,39573	2,20E-05	0,0433453	2,20E-05	-0,271783
2,40E-05	2,43178	2,40E-05	0,0779482	2,40E-05	-0,18439
2,60E-05	2,43307	2,60E-05	0,112229	2,60E-05	-0,104723
2,80E-05	2,38961	2,80E-05	0,143292	2,80E-05	-0,0120194
3,00E-05	2,30994	3,00E-05	0,172744	3,00E-05	0,0682916
3,20E-05	2,19696	3,20E-05	0,199139	3,20E-05	0,158903
3,40E-05	2,04422	3,40E-05	0,223442	3,40E-05	0,239858
3,60E-05	1,86476	3,60E-05	0,24195	3,60E-05	0,318238
3,80E-05	1,65119	3,80E-05	0,256596	3,80E-05	0,393238
4,00E-05	1,40993	4,00E-05	0,268184	4,00E-05	0,458903
4,20E-05	1,14823	4,20E-05	0,274944	4,20E-05	0,523603
4,40E-05	0,872531	4,40E-05	0,277197	4,40E-05	0,572208
4,60E-05	0,572047	4,60E-05	0,274461	4,60E-05	0,617111
4,80E-05	0,275266	4,80E-05	0,267862	4,80E-05	0,6493
5,00E-05	-0,033425	5,00E-05	0,256918	5,00E-05	0,672155
5,20E-05	-0,338896	5,20E-05	0,241306	5,20E-05	0,684869
5,40E-05	-0,641953	5,40E-05	0,221832	5,40E-05	0,690341
5,60E-05	-0,930525	5,60E-05	0,198495	5,60E-05	0,67988
5,80E-05	-1,21137	5,80E-05	0,1721	5,80E-05	0,661371
6,00E-05	-1,47226	6,00E-05	0,142004	6,00E-05	0,629504
6,20E-05	-1,71046	6,20E-05	0,109815	6,20E-05	0,591199
6,40E-05	-1,91486	6,40E-05	0,0745684	6,40E-05	0,54533
6,60E-05	-2,0993	6,60E-05	0,0393217	6,60E-05	0,483528
6,80E-05	-2,23851	6,80E-05	0,00310928	6,80E-05	0,425749
7,00E-05	-2,35294	7,00E-05	-0,0331031	7,00E-05	0,344311
