Time - V_S	Amplitude - V_S	Time - V_R	Amplitude - V_R	Time - V_C	Amplitude - V_C
0	-2,17491	0	-1,58243	0	1,45256
2,00E-06	-2,73213	2,00E-06	-2,2794	2,00E-06	1,36482
4,00E-06	-2,72698	4,00E-06	-2,54795	4,00E-06	1,28383
6,00E-06	-2,72617	6,00E-06	-2,65404	6,00E-06	1,2117
8,00E-06	-2,71683	8,00E-06	-2,68834	8,00E-06	1,14505
1,00E-05	-2,70878	1,00E-05	-2,69929	1,00E-05	1,08596
1,20E-05	-2,70186	1,20E-05	-2,70395	1,20E-05	1,02366
1,40E-05	-2,68834	1,40E-05	-2,69574	1,40E-05	0,963443
1,60E-05	-2,67465	1,60E-05	-2,68802	1,60E-05	0,908542
1,80E-05	-2,67224	1,80E-05	-2,68109	1,80E-05	0,854929
2,00E-05	-2,66531	2,00E-05	-2,6732	2,00E-05	0,799062
2,20E-05	-2,65517	2,20E-05	-2,66628	2,20E-05	0,744483
2,40E-05	-2,64921	2,40E-05	-2,65549	2,40E-05	0,697793
2,60E-05	-2,63537	2,60E-05	-2,64599	2,60E-05	0,647239
2,80E-05	-2,62812	2,80E-05	-2,63891	2,80E-05	0,595558
3,00E-05	-2,61959	3,00E-05	-2,63102	3,00E-05	0,551123
3,20E-05	-2,6146	3,20E-05	-2,62007	3,20E-05	0,502018
3,40E-05	-2,60542	3,40E-05	-2,61235	3,40E-05	0,457904
3,60E-05	-2,59142	3,60E-05	-2,60687	3,60E-05	0,41218
3,80E-05	-2,59093	3,80E-05	-2,59802	3,80E-05	0,370159
4,00E-05	-2,58127	4,00E-05	-2,59077	4,00E-05	0,329105
4,20E-05	-2,57628	4,20E-05	-2,58176	4,20E-05	0,288211
4,40E-05	-2,56823	4,40E-05	-2,57258	4,40E-05	0,247639
4,60E-05	-2,55922	4,60E-05	-2,56549	4,60E-05	0,206423
4,80E-05	-2,55149	4,80E-05	-2,55905	4,80E-05	0,169072
5,00E-05	-2,54279	5,00E-05	-2,5531	5,00E-05	0,134618
5,20E-05	-2,53603	5,20E-05	-2,54489	5,20E-05	0,0958173
5,40E-05	-2,52879	5,40E-05	-2,53829	5,40E-05	0,0584655
5,60E-05	-2,52363	5,60E-05	-2,5312	5,60E-05	0,0235288
5,80E-05	-2,51768	5,80E-05	-2,52444	5,80E-05	-0,00802695
6,00E-05	-2,51269	6,00E-05	-2,51848	6,00E-05	-0,0399047
6,20E-05	-2,5056	6,20E-05	-2,51365	6,20E-05	-0,0750024
