Time - V_S	Amplitude - V_S	Time - V_R	Amplitude - V_R	Time - V_C	Amplitude - V_C
0,00015	-2,33752	0,00015	-2,33929	0,00015	-0,989796
0,000152	-2,33108	0,000152	-2,33365	0,000152	-1,00219
0,000154	-2,3314	0,000154	-2,33382	0,000154	-1,01491
0,000156	-2,33253	0,000156	-2,33317	0,000156	-1,02666
0,000158	-2,32947	0,000158	-2,33156	0,000158	-1,03874
0,00016	-2,3256	0,00016	-2,32818	0,00016	-1,0492
0,000162	-2,32303	0,000162	-2,32754	0,000162	-1,06096
0,000164	-2,31949	0,000164	-2,32319	0,000164	-1,07158
0,000166	-2,31884	0,000166	-2,32142	0,000166	-1,08205
0,000168	-2,31643	0,000168	-2,31997	0,000168	-1,09348
0,00017	-2,31675	0,00017	-2,31611	0,00017	-1,10346
0,000172	-2,31401	0,000172	-2,31562	0,000172	-1,11393
0,000174	-2,31176	0,000174	-2,31482	0,000174	-1,12326
0,000176	-2,30918	0,000176	-2,31369	0,000176	-1,13325
0,000178	-2,30532	0,000178	-2,31272	0,000178	-1,14274
0,00018	-2,3058	0,00018	-2,31031	0,00018	-1,15128
0,000182	-2,30484	0,000182	-2,30789	0,000182	-1,16142
0,000184	-2,30113	0,000184	-2,30451	0,000184	-1,17108
0,000186	-2,29823	0,000186	-2,30162	0,000186	-1,17913
0,000188	-2,29775	0,000188	-2,30178	0,000188	-1,18815
0,00019	-2,29646	0,00019	-2,29872	0,00019	-1,19587
0,000192	-2,29518	0,000192	-2,2955	0,000192	-1,20425
0,000194	-2,29357	0,000194	-2,29614	0,000194	-1,21262
0,000196	-2,2889	0,000196	-2,29598	0,000196	-1,21986
0,000198	-2,28986	0,000198	-2,29534	0,000198	-1,22807
0,0002	-2,29308	0,0002	-2,29324	0,0002	-1,23612
0,000202	-2,28874	0,000202	-2,29035	0,000202	-1,24337
0,000204	-2,28616	0,000204	-2,29035	0,000204	-1,25013
0,000206	-2,28648	0,000206	-2,28777	0,000206	-1,25754
0,000208	-2,2831	0,000208	-2,28487	0,000208	-1,26478
0,00021	-2,28696	0,00021	-2,28455	0,00021	-1,27235
0,000212	-2,28246	0,000212	-2,28423	0,000212	-1,27847
0,000214	-2,28165	0,000214	-2,2802	0,000214	-1,28587
0,000216	-2,2794	0,000216	-2,28213	0,000216	-1,29183
0,000218	-2,28085	0,000218	-2,28101	0,000218	-1,29811
0,00022	-2,27586	0,00022	-2,27891	0,00022	-1,30423
0,000222	-2,27714	0,000222	-2,27956	0,000222	-1,31067
0,000224	-2,27296	0,000224	-2,27618	0,000224	-1,31678
0,000226	-2,27586	0,000226	-2,27682	0,000226	-1,3221
0,000228	-2,27505	0,000228	-2,27843	0,000228	-1,32789
0,00023	-2,26861	0,00023	-2,27569	0,00023	-1,33417
0,000232	-2,27135	0,000232	-2,27231	0,000232	-1,34013
0,000234	-2,2736	0,000234	-2,26893	0,000234	-1,34431
0,000236	-2,26845	0,000236	-2,27183	0,000236	-1,35059
0,000238	-2,26764	0,000238	-2,27038	0,000238	-1,35526
0,00024	-2,26781	0,00024	-2,26748	0,00024	-1,36074
0,000242	-2,26636	0,000242	-2,26877	0,000242	-1,36557
0,000244	-2,26298	0,000244	-2,26732	0,000244	-1,37056
0,000246	-2,26523	0,000246	-2,26716	0,000246	-1,37603
0,000248	-2,2612	0,000248	-2,26475	0,000248	-1,38022
0,00025	-2,25959	0,00025	-2,26362	0,00025	-1,38553
0,000252	-2,2633	0,000252	-2,26394	0,000252	-1,38923
0,000254	-2,25798	0,000254	-2,26459	0,000254	-1,39487
0,000256	-2,25879	0,000256	-2,26684	0,000256	-1,39905
0,000258	-2,25879	0,000258	-2,26346	0,000258	-1,40308
0,00026	-2,25831	0,00026	-2,26201	0,00026	-1,40727
0,000262	-2,25396	0,000262	-2,26265	0,000262	-1,41097
0,000264	-2,25911	0,000264	-2,25976	0,000264	-1,41596
0,000266	-2,25734	0,000266	-2,25895	0,000266	-1,4195
0,000268	-2,25927	0,000268	-2,25895	0,000268	-1,42385
0,00027	-2,25493	0,00027	-2,25686	0,00027	-1,42755
0,000272	-2,25332	0,000272	-2,25332	0,000272	-1,43093
0,000274	-2,25171	0,000274	-2,2538	0,000274	-1,43464
0,000276	-2,25267	0,000276	-2,25444	0,000276	-1,43818
0,000278	-2,25396	0,000278	-2,2538	0,000278	-1,44188
0,00028	-2,25074	0,00028	-2,25283	0,00028	-1,44574
0,000282	-2,25154	0,000282	-2,25235	0,000282	-1,44848
0,000284	-2,25138	0,000284	-2,25171	0,000284	-1,45251
0,000286	-2,24881	0,000286	-2,25122	0,000286	-1,45621
0,000288	-2,24832	0,000288	-2,25058	0,000288	-1,45846
0,00029	-2,24816	0,00029	-2,25026	0,00029	-1,46152
0,000292	-2,24575	0,000292	-2,248	0,000292	-1,46474
0,000294	-2,24752	0,000294	-2,24929	0,000294	-1,46828
0,000296	-2,24527	0,000296	-2,24865	0,000296	-1,47086
0,000298	-2,24816	0,000298	-2,24559	0,000298	-1,47408
0,0003	-2,24462	0,0003	-2,24671	0,0003	-1,47682
0,000302	-2,24623	0,000302	-2,24559	0,000302	-1,47971
0,000304	-2,24333	0,000304	-2,24366	0,000304	-1,48293
0,000306	-2,24156	0,000306	-2,24221	0,000306	-1,48583
